id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
d5c3e218-04c6-4d1d-96d0-67f4effb4890,transfer_800t,74U00-CN405S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""74U00-CN405S""}]",null,0.11384615384615385,1,21061.08,[]
67517c06-9139-408a-8d23-16830564444a,transfer_800t,74U00-SH803S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""74U00-SH803S""}]",null,0.10475524475524475,1,34925.31,[]
c66cf577-b2a1-4cb5-b35c-657d95fae97f,transfer_800t,74U00-SH804S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""74U00-SH804S""}]",null,0.10475524475524475,1,34925.31,[]
7e621608-2381-49d5-8b8f-1ce57ca03240,transfer_800t,74U50-CN405S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""74U50-CN405S""}]",null,0.09717948717948717,1,26190.68,[]
5174e13a-a711-4fa2-8672-e98962209895,transfer_800t,74U50-SH407S/408S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""74U50-SH407S/408S""}]",null,0.10475524475524475,1,22879.6,[]
63b86936-7b85-4a81-90ed-9a6eef584ed2,transfer_800t,889FI-CN505S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""889FI-CN505S""}]",null,0.10475524475524475,1,18710.61,[]
e0b9da8f-b8f6-42b8-9f17-0d25f85b476b,transfer_800t,889FI-SH803S-001-NEW,2026-08-04 03:46:50.342859+00,[],null,0.09384615384615384,1,null,[]
15f0610c-9731-4e45-bf1c-b49fbcdbcf01,transfer_800t,889FI-SH804S-001-NEW,2026-08-04 03:46:50.342859+00,[],null,0.09384615384615384,1,null,[]
cd438936-0fca-4c0e-825e-2e619a51ac86,transfer_800t,D73F0-CN010S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""D73F0-CN010S""}]",null,0.09384615384615384,1,13321.1,[]
37122e71-a9a8-4c3f-bfd2-286ff02f6b6b,transfer_800t,D98E7-CN505S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""D98E7-CN505S""}]",null,0.10080267558528427,1,22677.36,[]
4737d5e1-8943-4e75-bacc-c4d7cd3368f9,transfer_800t,D98E7-SH503S,2026-07-17 06:35:11.487156+00,[],null,0.09384615384615384,1,27793.05,[]
0a8148b9-76a6-44ce-9693-31b96864d82e,transfer_800t,D98E7-SH504S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""D98E7-SH504S""}]",null,0.09384615384615384,1,25265.79,[]
902e76b6-a200-4c32-915a-62d4a9c728e1,transfer_800t,889FI-SH803S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""889FI-SH803S""}]",null,0.09384615384615384,1,33043.58,[]
4fc5a6ab-d3e2-483f-b8ca-e5228e579ada,transfer_800t,889FI-SH804S-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""889FI-SH804S""}]",null,0.09384615384615384,1,27198.78,[]
